"survey","freq","subject","response","start_date","end_date"
"ms153_NSA",48,1,"Always",2010-09-22,2010-10-25
"ms153_NSA",9,2,"Always",2010-09-22,2010-10-25
"ms153_NSA",66,3,"Always",2010-09-22,2010-10-25
"ms153_NSA",1,4,"Always",2010-09-22,2010-10-25
"ms153_NSA",11,5,"Always",2010-09-22,2010-10-25
"ms153_NSA",1,6,"Always",2010-09-22,2010-10-25
"ms153_NSA",5,7,"Always",2010-09-22,2010-10-25
"ms153_NSA",4,8,"Always",2010-09-22,2010-10-25
"ms153_NSA",24,9,"Missing",2010-09-22,2010-10-25
"ms153_NSA",4,10,"Missing",2010-09-22,2010-10-25
"ms153_NSA",29,11,"Missing",2010-09-22,2010-10-25
"ms153_NSA",1,12,"Missing",2010-09-22,2010-10-25
"ms153_NSA",1,13,"Missing",2010-09-22,2010-10-25
"ms153_NSA",9,14,"Missing",2010-09-22,2010-10-25
"ms153_NSA",10,15,"Missing",2010-09-22,2010-10-25
"ms153_NSA",14,16,"Missing",2010-09-22,2010-10-25
"ms153_NSA",3,17,"Never",2010-09-22,2010-10-25
"ms153_NSA",7,18,"Never",2010-09-22,2010-10-25
"ms153_NSA",42,19,"Never",2010-09-22,2010-10-25
"ms153_NSA",20,20,"Never",2010-09-22,2010-10-25
"ms153_NSA",2,21,"Never",2010-09-22,2010-10-25
"ms153_NSA",36,22,"Never",2010-09-22,2010-10-25
"ms153_NSA",7,23,"Never",2010-09-22,2010-10-25
"ms153_NSA",2,24,"Never",2010-09-22,2010-10-25
"ms153_NSA",4,25,"Never",2010-09-22,2010-10-25
"ms153_NSA",9,26,"Never",2010-09-22,2010-10-25
"ms153_NSA",48,27,"Sometimes",2010-09-22,2010-10-25
"ms153_NSA",11,28,"Sometimes",2010-09-22,2010-10-25
"ms153_NSA",99,29,"Sometimes",2010-09-22,2010-10-25
"ms153_NSA",3,30,"Sometimes",2010-09-22,2010-10-25
"ms153_NSA",41,31,"Sometimes",2010-09-22,2010-10-25
"ms153_NSA",168,32,"Sometimes",2010-09-22,2010-10-25
"ms153_NSA",2,33,"Sometimes",2010-09-22,2010-10-25
"ms153_NSA",23,34,"Sometimes",2010-09-22,2010-10-25
"ms153_NSA",22,35,"Sometimes",2010-09-22,2010-10-25
"ms153_NSA",38,36,"Sometimes",2010-09-22,2010-10-25
"ms153_NSA",1,37,"Sometimes",2010-09-22,2010-10-25
"ms153_NSA",15,38,"Sometimes",2010-09-22,2010-10-25
"ms153_NSA",113,39,"Sometimes",2010-09-22,2010-10-25
"ms432_NSA",48,1,"Always",2015-06-04,2015-10-05
"ms432_NSA",9,2,"Always",2015-06-04,2015-10-05
"ms432_NSA",66,3,"Missing",2015-06-04,2015-10-05
"ms432_NSA",1,4,"Missing",2015-06-04,2015-10-05
"ms432_NSA",11,5,"Missing",2015-06-04,2015-10-05
"ms432_NSA",1,6,"Never",2015-06-04,2015-10-05
"ms432_NSA",5,7,"Sometimes",2015-06-04,2015-10-05
"ms432_NSA",4,8,"Sometimes",2015-06-04,2015-10-05
"ms432_NSA",24,9,"Always",2015-06-04,2015-10-05
"ms432_NSA",4,10,"Always",2015-06-04,2015-10-05
"ms432_NSA",29,11,"Missing",2015-06-04,2015-10-05
"ms432_NSA",1,12,"Missing",2015-06-04,2015-10-05
"ms432_NSA",1,13,"Missing",2015-06-04,2015-10-05
"ms432_NSA",9,14,"Missing",2015-06-04,2015-10-05
"ms432_NSA",10,15,"Sometimes",2015-06-04,2015-10-05
"ms432_NSA",14,16,"Sometimes",2015-06-04,2015-10-05
"ms432_NSA",3,17,"Always",2015-06-04,2015-10-05
"ms432_NSA",7,18,"Missing",2015-06-04,2015-10-05
"ms432_NSA",42,19,"Missing",2015-06-04,2015-10-05
"ms432_NSA",20,20,"Missing",2015-06-04,2015-10-05
"ms432_NSA",2,21,"Never",2015-06-04,2015-10-05
"ms432_NSA",36,22,"Never",2015-06-04,2015-10-05
"ms432_NSA",7,23,"Never",2015-06-04,2015-10-05
"ms432_NSA",2,24,"Sometimes",2015-06-04,2015-10-05
"ms432_NSA",4,25,"Sometimes",2015-06-04,2015-10-05
"ms432_NSA",9,26,"Sometimes",2015-06-04,2015-10-05
"ms432_NSA",48,27,"Always",2015-06-04,2015-10-05
"ms432_NSA",11,28,"Always",2015-06-04,2015-10-05
"ms432_NSA",99,29,"Missing",2015-06-04,2015-10-05
"ms432_NSA",3,30,"Missing",2015-06-04,2015-10-05
"ms432_NSA",41,31,"Missing",2015-06-04,2015-10-05
"ms432_NSA",168,32,"Missing",2015-06-04,2015-10-05
"ms432_NSA",2,33,"Never",2015-06-04,2015-10-05
"ms432_NSA",23,34,"Never",2015-06-04,2015-10-05
"ms432_NSA",22,35,"Never",2015-06-04,2015-10-05
"ms432_NSA",38,36,"Sometimes",2015-06-04,2015-10-05
"ms432_NSA",1,37,"Sometimes",2015-06-04,2015-10-05
"ms432_NSA",15,38,"Sometimes",2015-06-04,2015-10-05
"ms432_NSA",113,39,"Sometimes",2015-06-04,2015-10-05
"ms460_NSA",48,1,"Always",2016-09-27,2016-10-25
"ms460_NSA",9,2,"Sometimes",2016-09-27,2016-10-25
"ms460_NSA",66,3,"Always",2016-09-27,2016-10-25
"ms460_NSA",1,4,"Never",2016-09-27,2016-10-25
"ms460_NSA",11,5,"Sometimes",2016-09-27,2016-10-25
"ms460_NSA",1,6,"Always",2016-09-27,2016-10-25
"ms460_NSA",5,7,"Always",2016-09-27,2016-10-25
"ms460_NSA",4,8,"Sometimes",2016-09-27,2016-10-25
"ms460_NSA",24,9,"Always",2016-09-27,2016-10-25
"ms460_NSA",4,10,"Sometimes",2016-09-27,2016-10-25
"ms460_NSA",29,11,"Always",2016-09-27,2016-10-25
"ms460_NSA",1,12,"Missing",2016-09-27,2016-10-25
"ms460_NSA",1,13,"Never",2016-09-27,2016-10-25
"ms460_NSA",9,14,"Sometimes",2016-09-27,2016-10-25
"ms460_NSA",10,15,"Always",2016-09-27,2016-10-25
"ms460_NSA",14,16,"Sometimes",2016-09-27,2016-10-25
"ms460_NSA",3,17,"Always",2016-09-27,2016-10-25
"ms460_NSA",7,18,"Always",2016-09-27,2016-10-25
"ms460_NSA",42,19,"Never",2016-09-27,2016-10-25
"ms460_NSA",20,20,"Sometimes",2016-09-27,2016-10-25
"ms460_NSA",2,21,"Missing",2016-09-27,2016-10-25
"ms460_NSA",36,22,"Never",2016-09-27,2016-10-25
"ms460_NSA",7,23,"Sometimes",2016-09-27,2016-10-25
"ms460_NSA",2,24,"Always",2016-09-27,2016-10-25
"ms460_NSA",4,25,"Never",2016-09-27,2016-10-25
"ms460_NSA",9,26,"Sometimes",2016-09-27,2016-10-25
"ms460_NSA",48,27,"Always",2016-09-27,2016-10-25
"ms460_NSA",11,28,"Sometimes",2016-09-27,2016-10-25
"ms460_NSA",99,29,"Always",2016-09-27,2016-10-25
"ms460_NSA",3,30,"Missing",2016-09-27,2016-10-25
"ms460_NSA",41,31,"Never",2016-09-27,2016-10-25
"ms460_NSA",168,32,"Sometimes",2016-09-27,2016-10-25
"ms460_NSA",2,33,"Always",2016-09-27,2016-10-25
"ms460_NSA",23,34,"Never",2016-09-27,2016-10-25
"ms460_NSA",22,35,"Sometimes",2016-09-27,2016-10-25
"ms460_NSA",38,36,"Always",2016-09-27,2016-10-25
"ms460_NSA",1,37,"Missing",2016-09-27,2016-10-25
"ms460_NSA",15,38,"Never",2016-09-27,2016-10-25
"ms460_NSA",113,39,"Sometimes",2016-09-27,2016-10-25
